date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90021.19189094333,10091.249389648438,100112.44128059177,1
2026-01-06,90021.19189094333,10225.010986328125,100246.20287727145,1
2026-01-07,81014.33612141799,19311.416441440582,100325.75256285857,2
2026-01-08,81014.33612141799,19124.5613322258,100138.89745364379,2
2026-01-09,81014.33612141799,19013.024338245392,100027.36045966338,2
2026-01-12,81014.33612141799,18955.276413440704,99969.6125348587,2
2026-01-13,81014.33612141799,18962.844788074493,99977.18090949248,2
2026-01-14,72911.37817071391,26778.123587608337,99689.50175832225,3
2026-01-15,72911.37817071391,26448.18277168274,99359.56094239665,3
2026-01-16,72911.37817071391,26431.75323152542,99343.13140223933,3
2026-01-20,72911.37817071391,26859.41034078598,99770.7885114999,3
2026-01-21,65621.01381817556,33176.00341272354,98797.0172308991,4
2026-01-22,59056.61230107046,39315.68143558502,98372.29373665548,5
2026-01-23,59056.61230107046,40663.76075172424,99720.3730527947,5
2026-01-26,59056.61230107046,40979.92197704315,100036.53427811361,5
2026-01-27,59056.61230107046,40760.36696100235,99816.97926207281,5
2026-01-28,53149.526663989025,47292.56582927704,100442.09249326607,6
2026-01-29,47831.37685449068,52592.3791885376,100423.75604302828,7
2026-01-30,47831.37685449068,54362.63259887695,102194.00945336763,7
2026-02-02,47831.37685449068,53161.619300842285,100992.99615533296,7
2026-02-03,47831.37685449068,52911.463050842285,100742.83990533296,7
2026-02-04,52403.97989587065,49583.63306045532,101987.61295632597,7
2026-02-05,52403.97989587065,52238.50850582123,104642.48840169188,7
2026-02-06,60492.61036452529,38522.841733932495,99015.45209845778,6
2026-02-09,60492.61036452529,37813.04380989075,98305.65417441603,6
2026-02-10,60492.61036452529,38135.67894744873,98628.28931197402,6
2026-02-11,60492.61036452529,38651.89703178406,99144.50739630935,6
2026-02-12,54444.11066984459,47621.08777666092,102065.1984465055,7
2026-02-13,62305.79631475731,37957.426074028015,100263.22238878533,6
2026-02-17,62305.79631475731,37895.40685892105,100201.20317367837,6
2026-02-18,62305.79631475731,37523.273649692535,99829.06996444985,6
2026-02-19,62305.79631475731,37275.18782997131,99580.98414472863,6
2026-02-20,69538.17177423759,30099.881585597992,99638.05335983558,5
2026-02-23,76757.7925397329,24275.306432247162,101033.09897198006,4
2026-02-24,69079.07552328726,30884.104604244232,99963.1801275315,5
2026-02-25,69079.07552328726,30478.402822494507,99557.47834578177,5
2026-02-26,69079.07552328726,30072.698598861694,99151.77412214896,5
2026-02-27,75243.64017935416,25424.569897651672,100668.21007700583,4
2026-03-02,80525.71646786353,19443.77431869507,99969.4907865586,3
2026-03-03,80525.71646786353,20438.422393798828,100964.13886166236,3
2026-03-04,80525.71646786353,19860.88520050049,100386.60166836402,3
2026-03-05,80525.71646786353,20983.875560760498,101509.59202862403,3
2026-03-06,87210.18389444968,15770.388233661652,102980.57212811134,2
2026-03-09,87210.18389444968,15274.747550487518,102484.9314449372,2
2026-03-10,78486.09533251314,23978.06108379364,102464.15641630678,3
2026-03-11,78486.09533251314,24154.629055023193,102640.72438753633,3
2026-03-12,78486.09533251314,25743.749298095703,104229.84463060884,3
2026-03-13,78486.09533251314,26061.57470703125,104547.67003954439,3
2026-03-16,85890.70225780993,17875.11292695999,103765.81518476992,2
2026-03-17,85890.70225780993,17550.565816402435,103441.26807421236,2
2026-03-18,85890.70225780993,18399.38281583786,104290.08507364779,2
2026-03-19,85890.70225780993,18049.870357990265,103940.57261580019,2
2026-03-20,85890.70225780993,19248.202219486237,105138.90447729616,2
2026-03-23,85890.70225780993,17999.939663410187,103890.64192122011,2
2026-03-24,85890.70225780993,17697.41995191574,103588.12220972567,2
2026-03-25,85890.70225780993,17067.16995191574,102957.87220972567,2
2026-03-26,94667.95209358721,9217.739827632904,103885.69192122012,1
2026-03-27,94667.95209358721,9695.41029548645,104363.36238907366,1
2026-03-30,94667.95209358721,10121.440196990967,104789.39229057818,1
2026-03-31,94667.95209358721,9062.81997537613,103730.77206896334,1
2026-04-01,94667.95209358721,8894.989827632904,103562.94192122012,1
2026-04-02,94667.95209358721,8740.06997537613,103408.02206896334,1
2026-04-06,94667.95209358721,8623.879778385162,103291.83187197238,1
2026-04-07,94667.95209358721,8559.330147743225,103227.28224133044,1
2026-04-08,94667.95209358721,7810.5502462387085,102478.50233982592,1
2026-04-09,102344.45184734851,0.0,102344.45184734851,0
2026-04-10,102344.45184734851,0.0,102344.45184734851,0
2026-04-13,102344.45184734851,0.0,102344.45184734851,0
2026-04-14,102344.45184734851,0.0,102344.45184734851,0
2026-04-15,102344.45184734851,0.0,102344.45184734851,0
2026-04-16,102344.45184734851,0.0,102344.45184734851,0
2026-04-17,102344.45184734851,0.0,102344.45184734851,0
