date,cash,positions_mtm,total_value,num_open_positions
2025-12-01,100000.0,0.0,100000.0,0
2025-12-02,100000.0,0.0,100000.0,0
2025-12-03,100000.0,0.0,100000.0,0
2025-12-04,100000.0,0.0,100000.0,0
2025-12-05,100000.0,0.0,100000.0,0
2025-12-08,100000.0,0.0,100000.0,0
2025-12-09,100000.0,0.0,100000.0,0
2025-12-10,100000.0,0.0,100000.0,0
2025-12-11,100000.0,0.0,100000.0,0
2025-12-12,100000.0,0.0,100000.0,0
2025-12-15,100000.0,0.0,100000.0,0
2025-12-16,100000.0,0.0,100000.0,0
2025-12-17,100000.0,0.0,100000.0,0
2025-12-18,100000.0,0.0,100000.0,0
2025-12-19,100000.0,0.0,100000.0,0
2025-12-22,100000.0,0.0,100000.0,0
2025-12-23,100000.0,0.0,100000.0,0
2025-12-24,100000.0,0.0,100000.0,0
2025-12-26,100000.0,0.0,100000.0,0
2025-12-29,100000.0,0.0,100000.0,0
2025-12-30,100000.0,0.0,100000.0,0
2025-12-31,100000.0,0.0,100000.0,0
2026-01-02,100000.0,0.0,100000.0,0
2026-01-05,90409.66797092874,9601.85693359375,100011.52490452249,1
2026-01-06,90409.66797092874,9658.9609375,100068.62890842874,1
2026-01-07,81387.33587966414,18680.740077972412,100068.07595763655,2
2026-01-08,81387.33587966414,18684.83833694458,100072.17421660872,2
2026-01-09,81387.33587966414,18690.130363464355,100077.4662431285,2
2026-01-12,81387.33587966414,18690.12244796753,100077.45832763167,2
2026-01-13,81387.33587966414,18691.01926803589,100078.35514770003,2
2026-01-14,73259.35223178068,26816.683959960938,100076.03619174162,3
2026-01-15,73259.35223178068,26804.39599609375,100063.74822787443,3
2026-01-16,73259.35223178068,26825.200164794922,100084.5523965756,3
2026-01-20,73259.35223178068,26980.268112182617,100239.6203439633,3
2026-01-21,65930.38893358182,34150.53189468384,100080.92082826566,4
2026-01-22,59348.432549980214,40654.97052001953,100003.40306999974,5
2026-01-23,59348.432549980214,40667.14221191406,100015.57476189427,5
2026-01-26,59348.432549980214,40568.465728759766,99916.89827873997,5
2026-01-27,59348.432549980214,40485.49676513672,99833.92931511693,5
2026-01-28,53426.02847757513,46413.677734375,99839.70621195014,6
2026-01-29,48097.90575513357,51830.28065490723,99928.1864100408,7
2026-01-30,48097.90575513357,51955.47896575928,100053.38472089285,7
2026-02-02,48097.90575513357,51790.14105606079,99888.04681119436,7
2026-02-03,48097.90575513357,52087.3662071228,100185.27196225637,7
2026-02-04,51936.71624449599,48442.24499511719,100378.96123961319,7
2026-02-05,51936.71624449599,49047.77331542969,100984.48955992569,7
2026-02-06,61007.520753468154,39043.53998565674,100051.06073912489,6
2026-02-09,61007.520753468154,38857.93497085571,99865.45572432387,6
2026-02-10,61007.520753468154,38988.95027542114,99996.4710288893,6
2026-02-11,61007.520753468154,38988.95027542114,99996.4710288893,6
2026-02-12,54906.56287545429,45821.99329376221,100728.55616921649,7
2026-02-13,63168.235605709415,37542.740783691406,100710.97638940082,6
2026-02-17,63168.235605709415,37490.987548828125,100659.22315453754,6
2026-02-18,63168.235605709415,37304.671936035156,100472.90754174457,6
2026-02-19,63168.235605709415,37408.17840576172,100576.41401147113,6
2026-02-20,70416.58470086323,29906.459815979004,100323.04451684223,5
2026-02-23,77089.91070565449,23536.410568237305,100626.3212738918,4
2026-02-24,69389.55911530303,30993.00437927246,100382.56349457549,5
2026-02-25,69389.55911530303,30743.33818435669,100132.89729965971,5
2026-02-26,69389.55911530303,30924.129467010498,100313.68858231352,5
2026-02-27,75420.78059357451,25042.925716400146,100463.70630997466,4
2026-03-02,80842.7018399124,19622.99139404297,100465.69323395538,3
2026-03-03,80842.7018399124,19791.452339172363,100634.15417908477,3
2026-03-04,80842.7018399124,19655.595932006836,100498.29777191924,3
2026-03-05,80842.7018399124,19769.715980529785,100612.41782044219,3
2026-03-06,86745.80094651031,14127.943515777588,100873.7444622879,2
2026-03-09,86745.80094651031,14009.156951904297,100754.9578984146,2
2026-03-10,78071.16989334096,22712.768493652344,100783.93838699331,3
2026-03-11,78071.16989334096,22737.56785964966,100808.73775299062,3
2026-03-12,78071.16989334096,23097.202632904053,101168.37252624502,3
2026-03-13,78071.16989334096,23239.817405700684,101310.98729904165,3
2026-03-16,75986.66889853423,25071.986415863037,101058.65531439727,3
2026-03-17,75986.66889853423,25011.163822174072,100997.8327207083,3
2026-03-18,75986.66889853423,25362.578647613525,101349.24754614776,3
2026-03-19,75986.66889853423,25436.91679763794,101423.58569617217,3
2026-03-20,75986.66889853423,25815.36273574829,101802.03163428252,3
2026-03-23,75986.66889853423,25545.043838500977,101531.71273703521,3
2026-03-24,75986.66889853423,25626.137176513672,101612.8060750479,3
2026-03-25,75986.66889853423,25496.44948196411,101483.11838049834,3
2026-03-26,84122.579158544,17810.520568847656,101933.09972739166,2
2026-03-27,84122.579158544,18122.739715576172,102245.31887412017,2
2026-03-30,84122.579158544,18187.979431152344,102310.55858969635,2
2026-03-31,84122.579158544,17675.380142211914,101797.95930075592,2
2026-04-01,84122.579158544,17535.5804977417,101658.1596562857,2
2026-04-02,84122.579158544,17535.5804977417,101658.1596562857,2
2026-04-06,84122.579158544,17451.700355529785,101574.27951407379,2
2026-04-07,84122.579158544,17451.700355529785,101574.27951407379,2
2026-04-08,84122.579158544,17013.659217834473,101136.23837637847,2
2026-04-09,92754.64937643951,8274.120208740234,101028.76958517975,1
2026-04-10,92754.64937643951,8287.79965209961,101042.44902853912,1
2026-04-13,92754.64937643951,8205.72038269043,100960.36975912994,1
2026-04-14,92754.64937643951,8109.959930419922,100864.60930685943,1
2026-04-15,100795.81958517975,0.0,100795.81958517975,0
2026-04-16,100795.81958517975,0.0,100795.81958517975,0
2026-04-17,100795.81958517975,0.0,100795.81958517975,0
